Jun  5 11:36:08.567021 - 4296/6068	SetupPackageRDB() - Setting package name to current running package: CTPY92FX. 
Jun  5 11:36:08.567022 - 4296/6068	Local RDBMS data format is always XML. 
Jun  5 11:36:08.567023 - 4296/6068	IntSpecOpenPackage: SPEC_HANDLE Allocated, Handle=000000000a486780 
Jun  5 11:36:08.567024 - 4296/6068	IntSpecOpenPackage: Recursively calling DoSpecOpen. Handle=000000000a486780 
Jun  5 11:36:08.567025 - 4296/6068	Entering JDB_GetDatabaseTypeFromDS (DS Central Objects - CTPY92) 
Jun  5 11:36:08.567026 - 4296/6068	Exiting JDB_GetDatabaseTypeFromDS with Success (DS Central Objects - CTPY92) (Type S) 
Jun  5 11:36:08.567027 - 4296/6068	Entering JDB_OpenTableWithSQLName(Table = F98740 and SQLTable = F98740CTPY92FX) 
Jun  5 11:36:08.567028 - 4296/6068	ODBC:S DBInitConnection shr(15) con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 cur=0,3,6 sep=. VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.567029 - 4296/6068	Incremented table handle count to 2 
Jun  5 11:36:08.567030 - 4296/6068	Entering JDB_AssignNonJDETablename (NonJDETableName F98740CTPY92FX) (hRequest 000000000a8fb100) 
Jun  5 11:36:08.567031 - 4296/6068	Exiting JDB_AssignNonJDETablename with Success (NonJDETableName F98740CTPY92FX) 
Jun  5 11:36:08.567032 - 4296/6068	Exiting JDB_OpenTableWithSQLName(Table = F98740) (UserHandle 000000000ac2a4d0) (hRequest 000000000a8fb100) with Success 
Jun  5 11:36:08.567033 - 4296/6068	jdeSpecOpen() opening spec of release JDESPECRELLVL_B10. 
Jun  5 11:36:08.567034 - 4296/6068	SpecEncapsulation : jdeSpecOpenLocalOpt completed OK. 
Jun  5 11:36:08.567035 - 4296/6068	IntSpecOpenPackage: Returning 'PASSED' 
Jun  5 11:36:08.567036 - 4296/6068	Entering JDB_ClearSelection (hRequest 000000000a8fb100) 
Jun  5 11:36:08.567037 - 4296/6068	Exiting JDB_ClearSelection with Success 
Jun  5 11:36:08.567038 - 4296/6068	Entering JDB_SelectKeyed (hRequest 000000000a8fb100) 
Jun  5 11:36:08.567039 - 4296/6068	ODBC:S DBInitRequest(new) req=000000000A60D0E0,con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.567040 - 4296/6068	SELECT  *  FROM CTJDE_CTPY92.PY920.F98740CTPY92FX  WHERE  ( ELPRDTYP = 4 AND ELOBNM = 'F986167' )  ORDER BY ELPRDTYP ASC,ELOBNM ASC,ELVERS ASC,ELFMNM ASC,ELCTRLID ASC,ELWEVENT ASC,ELERID3 ASC 
Jun  5 11:36:08.567041 - 4296/6068	Entering DBPerformRequest 
Jun  5 11:36:08.567042 - 4296/6068	ODBC:S DBPerformRequest req=000000000A60D0E0,con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.568000 - 4296/6068	Exiting DBPerformRequest 
Jun  5 11:36:08.568001 - 4296/6068	Exiting JDB_SelectKeyed with Success 
Jun  5 11:36:08.568002 - 4296/6068	SpecEncapsulation : jdeSpecSelectKeyed completed OK. 
Jun  5 11:36:08.568003 - 4296/6068	No More Data found (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568004 - 4296/6068	Entering JDB_GetLastDBError (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568005 - 4296/6068	Exiting JDB_GetLastDBError with Success 
Jun  5 11:36:08.568006 - 4296/6068	IntSpecClose: Entering w/ Handle = 000000000a486780 
Jun  5 11:36:08.568007 - 4296/6068	Entering JDB_CloseTable (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568008 - 4296/6068	Entering JDB_CloseTable(Table = F98740) 
Jun  5 11:36:08.568009 - 4296/6068	Entering JDB_ClearSequencing (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568010 - 4296/6068	Exiting JDB_ClearSequencing with Success 
Jun  5 11:36:08.568011 - 4296/6068	Entering JDB_ClearSelection (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568012 - 4296/6068	Exiting JDB_ClearSelection with Success 
Jun  5 11:36:08.568013 - 4296/6068	Entering JDB_ClearAggregate (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568014 - 4296/6068	Exiting JDB_ClearAggregate with Success 
Jun  5 11:36:08.568015 - 4296/6068	Entering JDB_ClearGroupBy (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568016 - 4296/6068	Exiting JDB_ClearGroupBy with Success 
Jun  5 11:36:08.568017 - 4296/6068	Entering JDB_ClearColumnArithmetic (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568018 - 4296/6068	Exiting JDB_ClearColumnArithmetic with Success 
Jun  5 11:36:08.568019 - 4296/6068	Entering JDB_ClearHaving (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568020 - 4296/6068	Exiting JDB_ClearHaving with Success 
Jun  5 11:36:08.568021 - 4296/6068	Entering JDB_AssignOriginalJDETablename (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568022 - 4296/6068	Exiting JDB_AssignOriginalJDETablename with Success 
Jun  5 11:36:08.568023 - 4296/6068	ODBC:S DBFreeRequest(close) req=000000000A60D0E0,con=00000000000E0C70 
Jun  5 11:36:08.568024 - 4296/6068	Entering JDB_ClearBuffers (hRequest 000000000a8fb100) 
Jun  5 11:36:08.568025 - 4296/6068	Exiting JDB_ClearBuffers with success. 
Jun  5 11:36:08.568026 - 4296/6068	Decremented table handle count to 1 
Jun  5 11:36:08.568027 - 4296/6068	Exiting JDB_CloseTable(Table = F98740) with Success 
Jun  5 11:36:08.568028 - 4296/6068	Exiting JDB_CloseTable with Success 
Jun  5 11:36:08.568029 - 4296/6068	IntSpecClose: Returning 'PASSED', Handle=000000000a486780 
Jun  5 11:36:08.569000 - 4296/6068	ODBC:S DBInitConnection shr(7) con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 cur=0,3,6 sep=. VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.569001 - 4296/6068	Incremented table handle count to 2 
Jun  5 11:36:08.569002 - 4296/6068	Exiting JDB_OpenTable(Table = F986167) (UserHandle 000000000ac2a4d0) (hRequest 000000000a8f8400) with Success 
Jun  5 11:36:08.569003 - 4296/6068	ODBC:S DBInitRequest(new) req=000000000A60D420,con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.570000 - 4296/6068	SELECT  COUNT(*)  FROM CTJDE920.SY920.F986167  WHERE  ( DPPFN1 = 2.000000 AND DPSTSO = 'AV' AND DPUSER = 'SSHIRPU1' ) 
Jun  5 11:36:08.570001 - 4296/6068	Entering DBPerformRequest 
Jun  5 11:36:08.570002 - 4296/6068	ODBC:S DBPerformRequest req=000000000A60D420,con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.571000 - 4296/6068	Exiting DBPerformRequest 
Jun  5 11:36:08.572000 - 4296/6068	Entering JDB_GetOWRole 
Jun  5 11:36:08.572001 - 4296/6068	Exiting JDB_GetOWRole 
Jun  5 11:36:08.572002 - 4296/6068	ODBC:S DBResetRequest req=000000000A60D420,con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.572003 - 4296/6068	SELECT  COUNT(*)  FROM CTJDE920.SY920.F986167  WHERE  ( DPPFN1 = 2.000000 AND DPSTSO = 'AV' AND DPUSER = 'FINCONCT' ) 
